Biological Process,Sample 1 Biological Process Count,Sample 2 Biological Process Count
http://purl.obolibrary.org/obo/GO_0016117,8,30
http://purl.obolibrary.org/obo/GO_0071805,30,46
http://purl.obolibrary.org/obo/GO_0016998,39,75
http://purl.obolibrary.org/obo/GO_0005996,15,28
http://purl.obolibrary.org/obo/GO_0015694,39,47
http://purl.obolibrary.org/obo/GO_0006461,21,25
http://purl.obolibrary.org/obo/GO_0019627,21,24
http://purl.obolibrary.org/obo/GO_0010468,20,29
http://purl.obolibrary.org/obo/GO_0019748,17,24
http://purl.obolibrary.org/obo/GO_0019646,17,25
http://purl.obolibrary.org/obo/GO_0019310,22,29
http://purl.obolibrary.org/obo/GO_0043683,29,23
http://purl.obolibrary.org/obo/GO_0005991,34,15
http://purl.obolibrary.org/obo/GO_0034194,13,31
http://purl.obolibrary.org/obo/GO_0006379,30,34
http://purl.obolibrary.org/obo/GO_0019370,18,20
http://purl.obolibrary.org/obo/GO_0005985,13,9
http://purl.obolibrary.org/obo/GO_0050920,34,35
http://purl.obolibrary.org/obo/GO_0006493,30,25
http://purl.obolibrary.org/obo/GO_0001514,42,53
http://purl.obolibrary.org/obo/GO_0016192,106,19
http://purl.obolibrary.org/obo/GO_0043461,20,26
http://purl.obolibrary.org/obo/GO_0002143,23,23
http://purl.obolibrary.org/obo/GO_0035444,29,23
http://purl.obolibrary.org/obo/GO_0071436,2,6
http://purl.obolibrary.org/obo/GO_0070206,14,25
http://purl.obolibrary.org/obo/GO_0046373,7,10
http://purl.obolibrary.org/obo/GO_0019068,21,68
http://purl.obolibrary.org/obo/GO_0071705,23,21
http://purl.obolibrary.org/obo/GO_0006106,9,17
http://purl.obolibrary.org/obo/GO_0015689,18,18
http://purl.obolibrary.org/obo/GO_0042545,7,16
http://purl.obolibrary.org/obo/GO_0015979,21,9
http://purl.obolibrary.org/obo/GO_0008645,13,12
http://purl.obolibrary.org/obo/GO_0009291,13,21
http://purl.obolibrary.org/obo/GO_0009405,29,48
http://purl.obolibrary.org/obo/GO_0006171,6,6
http://purl.obolibrary.org/obo/GO_0006928,41,10
http://purl.obolibrary.org/obo/GO_0015700,13,16
http://purl.obolibrary.org/obo/GO_0006032,12,13
http://purl.obolibrary.org/obo/GO_0009252,7,25
http://purl.obolibrary.org/obo/GO_0044780,16,16
http://purl.obolibrary.org/obo/GO_0051276,20,12
http://purl.obolibrary.org/obo/GO_0016567,7,12
http://purl.obolibrary.org/obo/GO_0045227,5,7
http://purl.obolibrary.org/obo/GO_0019295,15,20
http://purl.obolibrary.org/obo/GO_0009712,13,8
http://purl.obolibrary.org/obo/GO_0016042,23,23
http://purl.obolibrary.org/obo/GO_0009271,6,17
http://purl.obolibrary.org/obo/GO_0030416,7,10
http://purl.obolibrary.org/obo/GO_0051775,27,24
http://purl.obolibrary.org/obo/GO_0009229,35,28
http://purl.obolibrary.org/obo/GO_0050909,5,0
http://purl.obolibrary.org/obo/GO_0045151,10,5
http://purl.obolibrary.org/obo/GO_0006635,6,6
http://purl.obolibrary.org/obo/GO_0044781,22,9
http://purl.obolibrary.org/obo/GO_0006904,52,5
http://purl.obolibrary.org/obo/GO_0051260,4,3
http://purl.obolibrary.org/obo/GO_0019385,15,18
http://purl.obolibrary.org/obo/GO_0000272,21,4
http://purl.obolibrary.org/obo/GO_0009159,9,9
http://purl.obolibrary.org/obo/GO_0016032,5,11
http://purl.obolibrary.org/obo/GO_0015803,14,20
http://purl.obolibrary.org/obo/GO_0016125,6,13
http://purl.obolibrary.org/obo/GO_0006182,12,8
http://purl.obolibrary.org/obo/GO_0071555,4,3
http://purl.obolibrary.org/obo/GO_0046999,2,9
http://purl.obolibrary.org/obo/GO_0006000,5,2
http://purl.obolibrary.org/obo/GO_0034229,5,7
http://purl.obolibrary.org/obo/GO_0043248,18,29
http://purl.obolibrary.org/obo/GO_0009772,5,0
http://purl.obolibrary.org/obo/GO_0019684,10,1
http://purl.obolibrary.org/obo/GO_0046488,11,3
http://purl.obolibrary.org/obo/GO_0009767,1,0
http://purl.obolibrary.org/obo/GO_0061136,23,16
http://purl.obolibrary.org/obo/GO_0030908,12,17
http://purl.obolibrary.org/obo/GO_0009966,7,2
http://purl.obolibrary.org/obo/GO_0043666,4,2
http://purl.obolibrary.org/obo/GO_0001558,7,17
http://purl.obolibrary.org/obo/GO_0006597,12,15
http://purl.obolibrary.org/obo/GO_0019069,8,20
